,index,lat,lon
518,518,40.444502,-80.02860600000002
519,519,40.44304,-80.02526
520,520,38.30011,-85.84846
521,521,40.35449000000001,-80.13835999999998
522,522,40.35405,-80.13756
523,523,38.30011,-85.84846
524,524,41.08513,-83.66004000000002
525,525,41.02413,-80.90579
526,526,41.02454,-80.92163000000002
527,527,39.0885,-84.7939
528,528,38.18542,-85.80893
529,529,39.27632,-84.86596999999998
530,530,39.16335,-84.42969000000002
531,531,39.748584,-84.226078
532,532,39.47208,-80.12134
533,533,41.192833,-80.159467
534,534,41.187807,-80.149019
535,535,38.241722,-85.621928
536,536,38.34374,-81.613217
537,537,40.10307,-83.12989
538,538,40.08403,-83.13039
539,539,38.35382,-83.40553
540,540,38.34631,-83.40449
541,541,39.04726,-84.45498
542,542,38.41443,-81.55113
543,543,38.304786,-85.850364
544,544,41.64344000000001,-83.54924
545,545,38.207196,-85.750405
546,546,39.97844,-82.97351
547,547,39.18583,-84.48269
548,548,41.68792,-83.56427
549,549,41.66553,-83.56532
550,550,39.22388,-84.36733000000002
551,551,38.292205,-85.639708
552,552,41.46679,-81.76572
553,553,38.20732,-85.75066
554,554,39.226316,-84.37109699999998
555,555,41.6876,-83.54904
556,556,40.15485,-84.22095999999998
557,557,41.42234000000001,-81.73869
558,558,38.297211,-85.754368
559,559,39.17376,-84.47991999999998
560,560,38.17393,-84.81367
561,561,39.11923,-84.53517
562,562,39.25235,-84.36476
563,563,41.06174,-81.50089
564,564,39.18583,-84.48269
565,565,39.9871,-82.98557
566,566,39.95092,-83.01485
567,567,39.16362,-84.50805
568,568,39.89552,-83.85418
569,569,39.99384000000001,-82.98501999999998
570,570,39.50841,-82.97357
571,571,40.61824,-80.09567
572,572,39.24518,-84.30315999999998
573,573,39.11923,-84.53517
574,574,41.43861,-81.79903
575,575,40.016824,-82.904112
576,576,39.10414,-84.50438
577,577,41.06228,-81.52877
578,578,39.12841,-84.49647
579,579,39.097772,-84.515196
580,580,41.31438,-81.51325
581,581,41.353183,-81.51244100000002
582,582,40.13189000000001,-80.132407
583,583,40.12589000000001,-80.13661
584,584,39.97073,-83.11941
585,585,39.44135,-82.56107
586,586,39.12338,-84.53556999999998
587,587,38.10084000000001,-84.48764
588,588,40.08627,-82.90724
589,589,39.58444,-85.82301
590,590,39.08809,-84.52274
591,591,38.25875,-85.74555
592,592,38.19365,-85.71099
593,593,39.06035,-84.53317
594,594,41.42336,-81.64497
595,595,39.28543,-84.42344
596,596,41.34758,-83.62365
597,597,41.06169000000001,-81.506259
598,598,41.53929,-81.62879000000002
599,599,40.05188,-83.03256999999998
600,600,41.13613,-81.72196
601,601,39.08972,-84.47561999999998
602,602,39.95465,-82.8444
603,603,39.1765,-84.48756999999998
604,604,39.16738,-84.42356
605,605,39.00063,-80.38373
606,606,39.1737,-84.49091999999997
607,607,39.14325,-84.47165
608,608,39.28881,-84.37566
609,609,40.513361,-81.651599
610,610,40.521732,-81.64755
611,611,41.53542,-83.61733000000002
612,612,38.998635,-80.21019799999998
613,613,38.83826,-82.163974
614,614,40.27716,-85.43713000000002
615,615,40.51968,-80.13239
616,616,39.83722,-84.53551999999998
617,617,39.02326,-84.48139
618,618,38.454276,-81.866824
619,619,39.02297,-84.51624
620,620,38.22811,-85.7514
621,621,39.05985,-84.41724
622,622,39.27632,-84.86596999999998
623,623,41.47957,-81.66823000000002
624,624,39.02326,-84.48139
625,625,40.44856,-80.00708
626,626,39.10419,-84.28204000000002
627,627,41.06004,-81.55676
628,628,41.771477,-83.69533
629,629,38.01818,-84.1533
630,630,38.07887,-83.94584
631,631,38.30011,-85.84846
632,632,38.95882,-85.84331
633,633,41.14181,-80.72015999999998
634,634,39.12841,-84.49647
635,635,41.0379,-81.5051
636,636,38.20942,-85.82739000000002
637,637,39.74883,-84.13401999999998
638,638,38.28612,-85.51094
639,639,39.15273,-84.54140100000002
640,640,38.235846,-85.658835
